0 leadconcept : Precision:: 0.0, Recall:: 0.0
1 xazoo : Precision:: 0.0, Recall:: 0.0
2 linuxfreak1985 : Precision:: 0.0, Recall:: 0.0
3 dmjuma : Precision:: 0.0, Recall:: 0.0
4 meetesh : Precision:: 0.375, Recall:: 0.6
5 mikehurley : Precision:: 0.0, Recall:: 0.0
6 sanjay2004 : Precision:: 0.0, Recall:: 0.0
7 madhavdutta : Precision:: 0.0, Recall:: 0.0
8 colorgraphicz : Precision:: 0.0, Recall:: 0.0
9 Gamit : Precision:: 0.0, Recall:: 0.0
10 marjanahmed13 : Precision:: 0.0, Recall:: 0.0
11 eSignWebServices : Precision:: 0.0, Recall:: 0.0
12 myzealit : Precision:: 0.0, Recall:: 0.0
13 kchg : Precision:: 0.0, Recall:: 0.0
14 rony47 : Precision:: 0.0, Recall:: 0.0
15 theDesignerz : Precision:: 0.0, Recall:: 0.0
16 sweetys1 : Precision:: 0.0, Recall:: 0.0
17 sovosowravdatta : Precision:: 0.0, Recall:: 0.0
18 wanggil : Precision:: 0.0, Recall:: 0.0
19 Huiming324 : Precision:: 0.0, Recall:: 0.0
20 projoomexperts : Precision:: 0.0, Recall:: 0.0
21 value4u : Precision:: 0.0, Recall:: 0.0
22 alinawaz88 : Precision:: 0.0, Recall:: 0.0
23 tnavadiya : Precision:: 0.0, Recall:: 0.0
24 AAPBD : Precision:: 0.0, Recall:: 0.0
25 hiddenpearls : Precision:: 0.0, Recall:: 0.0
26 Djdesign : Precision:: 0.0, Recall:: 0.0
27 webville : Precision:: 0.0, Recall:: 0.0
28 triyama : Precision:: 0.0, Recall:: 0.0
29 softwareweaver : Precision:: 0.0, Recall:: 0.0
30 NovaStudios : Precision:: 0.0, Recall:: 0.0
31 anshulmahajan89 : Precision:: 0.0, Recall:: 0.0
32 sheak : Precision:: 0.0, Recall:: 0.0
33 omsoftware : Precision:: 0.0, Recall:: 0.0
34 manpreet : Precision:: 0.0, Recall:: 0.0
35 LeadSoft : Precision:: 0.0, Recall:: 0.0
36 rinsadsl : Precision:: 0.0, Recall:: 0.0
37 ravneetschawla : Precision:: 0.0, Recall:: 0.0
38 Teloquence : Precision:: 0.0, Recall:: 0.0
39 creativewebideas : Precision:: 0.0, Recall:: 0.0
40 thetechie13 : Precision:: 0.0, Recall:: 0.0
41 zainy64 : Precision:: 0.0, Recall:: 0.0
42 pavi87june : Precision:: 0.0, Recall:: 0.0
43 Brsoft1 : Precision:: 0.0, Recall:: 0.0
44 taganherbord : Precision:: 0.0, Recall:: 0.0
45 lbear9090 : Precision:: 0.0, Recall:: 0.0
46 mindblowcreative : Precision:: 0.0, Recall:: 0.0
47 FTYSEO : Precision:: 0.0, Recall:: 0.0
48 wpdreamersl : Precision:: 0.0, Recall:: 0.0
49 drupaltonic : Precision:: 0.0, Recall:: 0.0
50 tjawad17 : Precision:: 0.0, Recall:: 0.0
51 goldensolution : Precision:: 0.0, Recall:: 0.0
52 feddyups : Precision:: 0.0, Recall:: 0.0
53 ktinfosoft : Precision:: 0.0, Recall:: 0.0
54 adortalukdar : Precision:: 0.0, Recall:: 0.0
55 zainy64 : Precision:: 0.0, Recall:: 0.0
56 Brsoft1 : Precision:: 0.0, Recall:: 0.0
57 taganherbord : Precision:: 0.0, Recall:: 0.0
58 lbear9090 : Precision:: 0.0, Recall:: 0.0
59 mindblowcreative : Precision:: 0.0, Recall:: 0.0
60 FTYSEO : Precision:: 0.0, Recall:: 0.0
61 wpdreamersl : Precision:: 0.0, Recall:: 0.0
62 drupaltonic : Precision:: 0.0, Recall:: 0.0
63 scientificwebs : Precision:: 0.0, Recall:: 0.0
64 bigdognec : Precision:: 0.0, Recall:: 0.0
65 Mtoag : Precision:: 0.0, Recall:: 0.0
66 archworx : Precision:: 0.0, Recall:: 0.0
67 Wezigners : Precision:: 0.0, Recall:: 0.0
68 sujaykar : Precision:: 0.0, Recall:: 0.0
69 katefriend : Precision:: 0.0, Recall:: 0.0
70 rajat07me : Precision:: 0.0, Recall:: 0.0
71 rajat07me : Precision:: 0.0, Recall:: 0.0
72 SovDyn : Precision:: 0.0, Recall:: 0.0
73 Webcont247365 : Precision:: 0.1, Recall:: 0.2
74 theislanders : Precision:: 0.0, Recall:: 0.0
75 jastp : Precision:: 0.0, Recall:: 0.0
76 saounmehdi : Precision:: 0.0, Recall:: 0.0
77 topacademics : Precision:: 0.0, Recall:: 0.0
78 samzinc : Precision:: 0.0, Recall:: 0.0
79 rabbul : Precision:: 0.0, Recall:: 0.0
80 EDataSolution : Precision:: 0.0, Recall:: 0.0
81 stranger0090 : Precision:: 0.0, Recall:: 0.0
82 dannnnny85 : Precision:: 0.0, Recall:: 0.0
83 PSZJVC : Precision:: 0.0, Recall:: 0.0
84 dynamitewebsol : Precision:: 0.0, Recall:: 0.0
85 helmot : Precision:: 0.0, Recall:: 0.0
86 Narfo : Precision:: 0.0, Recall:: 0.0
87 ruslnanmitiaiev : Precision:: 0.0, Recall:: 0.0
88 DevWorkshop : Precision:: 0.0, Recall:: 0.0
89 netdevbiz : Precision:: 0.0, Recall:: 0.0
90 MagicalDesigner : Precision:: 0.0, Recall:: 0.0
91 BenGraphics : Precision:: 0.0, Recall:: 0.0
92 jinlongwei : Precision:: 0.0, Recall:: 0.0
93 TypingxpertRehan : Precision:: 0.0, Recall:: 0.0
94 MyPrints : Precision:: 0.0, Recall:: 0.0
95 mingai426 : Precision:: 0.0, Recall:: 0.0
96 mamunfaruk : Precision:: 0.0, Recall:: 0.0
97 stranger0090 : Precision:: 0.0, Recall:: 0.0
98 dannnnny85 : Precision:: 0.0, Recall:: 0.0
99 PSZJVC : Precision:: 0.0, Recall:: 0.0
100 dynamitewebsol : Precision:: 0.0, Recall:: 0.0
101 Narfo : Precision:: 0.0, Recall:: 0.0
102 ruslnanmitiaiev : Precision:: 0.0, Recall:: 0.0
103 DevWorkshop : Precision:: 0.0, Recall:: 0.0
104 philmakerz : Precision:: 0.0, Recall:: 0.0
105 re4ct0r : Precision:: 0.0, Recall:: 0.0
106 technologyaddict : Precision:: 0.0, Recall:: 0.0
107 michale21 : Precision:: 0.0, Recall:: 0.0
108 zhengnami13 : Precision:: 0.0, Recall:: 0.0
109 samazran : Precision:: 0.0, Recall:: 0.0
110 webseofaqs : Precision:: 0.0, Recall:: 0.0
111 writer075 : Precision:: 0.0, Recall:: 0.0
112 vano101 : Precision:: 0.0, Recall:: 0.0
113 esolpro : Precision:: 0.3, Recall:: 0.6
114 MyPrints : Precision:: 0.0, Recall:: 0.0
115 mingai426 : Precision:: 0.0, Recall:: 0.0
116 fattahaabdul : Precision:: 0.0, Recall:: 0.0
117 MikroStar : Precision:: 0.0, Recall:: 0.0
118 waelfree : Precision:: 0.0, Recall:: 0.0
119 swatiwebsolution : Precision:: 0.0, Recall:: 0.0
120 mshuja : Precision:: 0.0, Recall:: 0.0
121 BLET : Precision:: 0.0, Recall:: 0.0
122 mshuja : Precision:: 0.0, Recall:: 0.0
123 BLET : Precision:: 0.0, Recall:: 0.0
124 it2051229 : Precision:: 0.0, Recall:: 0.0
125 beimaniago : Precision:: 0.0, Recall:: 0.0
126 Force2007 : Precision:: 0.0, Recall:: 0.0
127 philmakerz : Precision:: 0.0, Recall:: 0.0
128 re4ct0r : Precision:: 0.0, Recall:: 0.0
129 drubo999 : Precision:: 0.0, Recall:: 0.0
130 vano101 : Precision:: 0.0, Recall:: 0.0
131 evsoftpk : Precision:: 0.0, Recall:: 0.0
132 Cbox9 : Precision:: 0.0, Recall:: 0.0
133 talukdermuhammad : Precision:: 0.0, Recall:: 0.0
134 iffikhan : Precision:: 0.0, Recall:: 0.0
135 smashinteractive : Precision:: 0.0, Recall:: 0.0
136 niccroadniccroad : Precision:: 0.0, Recall:: 0.0
137 enrique5 : Precision:: 0.0, Recall:: 0.0
138 kalidass678 : Precision:: 0.0, Recall:: 0.0
139 arka123 : Precision:: 0.0, Recall:: 0.0
140 surabhirathi21 : Precision:: 0.0, Recall:: 0.0
141 programer218 : Precision:: 0.0, Recall:: 0.0
142 Antiq : Precision:: 0.0, Recall:: 0.0
143 ArtBrain : Precision:: 0.0, Recall:: 0.0
144 seobyadam : Precision:: 0.0, Recall:: 0.0
145 sharkTooth : Precision:: 0.0, Recall:: 0.0
146 tlchung : Precision:: 0.0, Recall:: 0.0
147 coolwriter30 : Precision:: 0.0, Recall:: 0.0
148 ezesol : Precision:: 0.0, Recall:: 0.0
149 webqueue : Precision:: 0.0, Recall:: 0.0
150 namithj : Precision:: 0.0, Recall:: 0.0
151 danchoe2011 : Precision:: 0.0, Recall:: 0.0
152 fourtunedesign : Precision:: 0.0, Recall:: 0.0
153 codersdee : Precision:: 0.0, Recall:: 0.0
154 sureshdevi : Precision:: 0.0, Recall:: 0.0
155 sn66 : Precision:: 0.0, Recall:: 0.0
156 herick05 : Precision:: 0.0, Recall:: 0.0
157 adibutt : Precision:: 0.0, Recall:: 0.0
158 iffikhan : Precision:: 0.0, Recall:: 0.0
159 urmate : Precision:: 0.0, Recall:: 0.0
160 smashinteractive : Precision:: 0.0, Recall:: 0.0
161 niccroadniccroad : Precision:: 0.0, Recall:: 0.0
162 vietwebdev : Precision:: 0.0, Recall:: 0.0
163 kalidass678 : Precision:: 0.0, Recall:: 0.0
164 arka123 : Precision:: 0.0, Recall:: 0.0
165 Fenrir32 : Precision:: 0.0, Recall:: 0.0
166 surabhirathi21 : Precision:: 0.0, Recall:: 0.0
167 ayushi0112 : Precision:: 0.0, Recall:: 0.0
168 Antiq : Precision:: 0.0, Recall:: 0.0
169 aamiriqbal : Precision:: 0.0, Recall:: 0.0
170 ArtBrain : Precision:: 0.0, Recall:: 0.0
171 sharkTooth : Precision:: 0.0, Recall:: 0.0
172 tlchung : Precision:: 0.0, Recall:: 0.0
173 sharkTooth : Precision:: 0.0, Recall:: 0.0
174 amfahsoft : Precision:: 0.0, Recall:: 0.0
175 tlchung : Precision:: 0.0, Recall:: 0.0
176 coolwriter30 : Precision:: 0.0, Recall:: 0.0
177 Youwebs : Precision:: 0.0, Recall:: 0.0
178 vishalbodkhe : Precision:: 0.0, Recall:: 0.0
179 raghubhai90 : Precision:: 0.0, Recall:: 0.0
180 gravitygraphics7 : Precision:: 0.0, Recall:: 0.0
181 raheeqfaizi : Precision:: 0.0, Recall:: 0.0
